"""","放送受信契約数_平成24年度(2012)","放送受信契約数_平成25年度(2013)","放送受信契約数_平成26年度(2014)","放送受信契約数_うち衛星契約数平成24年度(2012)","放送受信契約数_うち衛星契約数平成25年度(2013)","放送受信契約数_うち衛星契約数平成26年度(2014)"
"総  数","344029.0","345280.0","347149.0","125342.0","131333.0","137087.0"
"","","","","","",""
"  和歌山市","127322.0","127774.0","128491.0","52511.0","54917.0","57401.0"
"  海 南 市","19102.0","19029.0","18954.0","7230.0","7586.0","7740.0"
"  橋 本 市","20580.0","20648.0","20800.0","7515.0","7800.0","8179.0"
"  有 田 市","9626.0","9619.0","9695.0","3209.0","3368.0","3458.0"
"  御 坊 市","8305.0","8271.0","8408.0","2505.0","2626.0","2744.0"
"  田 辺 市","26441.0","26559.0","26787.0","8451.0","8849.0","9206.0"
"  新 宮 市","12605.0","12583.0","12855.0","3682.0","3772.0","4113.0"
"  紀の川市","20519.0","20553.0","20560.0","7534.0","7957.0","8250.0"
"  岩 出 市","14925.0","15099.0","15350.0","6313.0","6611.0","6881.0"
"","","","","","",""
"  紀美野町","3799.0","3780.0","3791.0","1509.0","1523.0","1573.0"
"","","","","","",""
"  かつらぎ町","6284.0","6286.0","6290.0","2452.0","2512.0","2597.0"
"  九度山町","1684.0","1653.0","1642.0","703.0","696.0","695.0"
"  高 野 町","2289.0","2454.0","2463.0","464.0","609.0","689.0"
"","","","","","",""
"  湯 浅 町","4031.0","4041.0","4046.0","1340.0","1366.0","1406.0"
"  広 川 町","2197.0","2188.0","2199.0","730.0","753.0","777.0"
"  有田川町","8550.0","8626.0","8679.0","2717.0","2852.0","3006.0"
"","","","","","",""
"  美 浜 町","2956.0","2939.0","2932.0","971.0","1001.0","1041.0"
"  日 高 町","2529.0","2552.0","2581.0","673.0","724.0","797.0"
"  由 良 町","2379.0","2378.0","2382.0","502.0","507.0","525.0"
"  印 南 町","2826.0","2824.0","2799.0","843.0","923.0","964.0"
"  みなべ町","4527.0","4503.0","4509.0","1894.0","1932.0","1981.0"
"  日高川町","3763.0","3751.0","3723.0","894.0","939.0","999.0"
"","","","","","",""
"  白 浜 町","10487.0","10961.0","11082.0","2860.0","3268.0","3407.0"
"  上富田町","4378.0","4436.0","4489.0","1701.0","1787.0","1871.0"
"  すさみ町","2294.0","2254.0","2218.0","833.0","845.0","853.0"
"","","","","","",""
"  那智勝浦町","8323.0","8308.0","8305.0","2068.0","2275.0","2528.0"
"  太 地 町","1451.0","1484.0","1486.0","393.0","434.0","452.0"
"  古座川町","1506.0","1472.0","1458.0","409.0","420.0","429.0"
"  北 山 村","233.0","243.0","238.0","43.0","42.0","41.0"
"  串 本 町","8118.0","8012.0","7937.0","2393.0","2439.0","2484.0"
